tiempo = 0  ;  avaliable es 16095
tiempo = 5.554s  tamano descargado = 197.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 198.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 199.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 200.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 201.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 202.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 203.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 204.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 205.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.555s  tamano descargado = 206.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.555s  tamano descargado = 207.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 208.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 209.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 210.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 211.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 212.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 213.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 214.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 215.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.947s  tamano descargado = 216.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 217.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 218.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 219.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 220.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 221.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 222.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.948s  tamano descargado = 223.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 224.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 225.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 226.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 227.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 228.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 229.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 230.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 231.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 232.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 233.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 234.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 235.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 236.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 237.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.587s  tamano descargado = 238.71777KB  tama;o del buffer  1.0KB 
tiempo = 6.588s  tamano descargado = 239.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 240.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 241.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 242.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 243.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 244.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 245.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 246.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 247.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 248.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 249.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 250.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 251.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 252.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 253.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.27s  tamano descargado = 254.71777KB  tama;o del buffer  1.0KB 
tiempo = 7.271s  tamano descargado = 255.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 256.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 257.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 258.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 259.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 260.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 261.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 262.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 263.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 264.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 265.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 266.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 267.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.534s  tamano descargado = 268.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.535s  tamano descargado = 269.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.535s  tamano descargado = 270.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.535s  tamano descargado = 271.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 272.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 273.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 274.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 275.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 276.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 277.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 278.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 279.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 280.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.567s  tamano descargado = 281.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 282.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 283.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 284.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 285.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 286.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.568s  tamano descargado = 287.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 288.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 289.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 290.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 291.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 292.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 293.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 294.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 295.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 296.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 297.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 298.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 299.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 300.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 301.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.738s  tamano descargado = 302.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.739s  tamano descargado = 303.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 304.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 305.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 306.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 307.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 308.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 309.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 310.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 311.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 312.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 313.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 314.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 315.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 316.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.744s  tamano descargado = 317.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.745s  tamano descargado = 318.71777KB  tama;o del buffer  1.0KB 
tiempo = 8.745s  tamano descargado = 319.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 320.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 321.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 322.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 323.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 324.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 325.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 326.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 327.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 328.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 329.71777KB  tama;o del buffer  1.0KB 
tiempo = 9.402s  tamano descargado = 330.71777KB  tama;o del buffer  1.0KB 
